--/--,Rest,Sun Nov 10 16:44:01 PST 2019,1\n
--/--,Rest,Sun Nov 10 16:44:03 PST 2019,1\n
Study,Work,Sun Nov 10 16:44:05 PST 2019,0\n
--/--,Rest,Sun Nov 10 16:44:07 PST 2019,1\n
Study,Work,Sun Nov 10 16:44:08 PST 2019,1\n
--/--,Rest,Sun Nov 10 16:44:10 PST 2019,2\n
Study,Work,Sun Nov 10 16:44:13 PST 2019,0\n
--/--,Rest,Sun Nov 10 16:44:15 PST 2019,0\n
Study,Work,Sun Nov 10 16:44:16 PST 2019,1\n
--/--,Rest,Sun Nov 10 16:44:17 PST 2019,0\n
Study,Work,Sun Nov 10 16:44:18 PST 2019,1\n
--/--,Rest,Sun Nov 10 16:44:21 PST 2019,0\n
Study,Work,Sun Nov 10 16:44:22 PST 2019,0\n
--/--,Rest,Sun Nov 10 16:44:23 PST 2019,0\n
Study,Work,Sun Nov 10 16:44:24 PST 2019,1\n
--/--,Rest,Sun Nov 10 16:44:25 PST 2019,1\n
